id;Consent_000_RAW;Consent_001_RAW;Goodbye_001_RAW;SBS_01_RAW;SBS_02_RAW;SBS_03_RAW;SBS_04_RAW;SBS_05_RAW;SBS_06_RAW;SBS_07_RAW;SBS_08_RAW;SBS_09_RAW;SBS_10_RAW;DEMOGR_01_RAW;DEMOGR_02_RAW;DEMOGR_03_RAW;DEMOGR_05_RAW;DEMOGR_06_RAW;DEMOGR_07_RAW;DEMOGR_08_RAW;DEMOGR_10_RAW;DEMOGR_11_RAW;DEMOGR_12_RAW;DEMOGR_13_RAW;DEMOGR_14_RAW;DEMOGR_15_RAW;DEMOGR_16_RAW;DEMOGR_17_RAW;DEMOGR_18_RAW;DEMOGR_19_RAW
19;"";acepto participar;rnvc5sgko3ujzvyl42go;-4;4;2;-4;-2;-1;-4;-4;2;3;31;Femenino;VZ18R37@gmail.com;No;Cochamó;Media incompleta;Humanidades y Ciencias Sociales;Primero;Universidad Marítima de Chile;Magíster o Doctorado completa;Básica incompleta;Otros;No;Si;Si;78;Amigas cercanas
17;"";acepto participar;c85kwlrf88b8y4vgn6yd;-1;-4;4;2;-4;-2;-1;-4;-4;2;27;Masculino;HpdWj8ehS@gmail.com;Si;Collipulli;Postgrado incompleta;Ciencias de la salud;Primero;Universidad de Aconcagua;Básica completa;Magíster o Doctorado completa;FONASA A;No;No;No se;57;"Madre; Hermanas"
2;"";acepto participar;6ugydhbhrkshqyg76ggf;2;0;-2;-4;-2;-1;-3;2;-2;1;26;Femenino;sKDO40@gmail.com;No;Isla de Pascua;Universidad incompleta;Otro;Primero;Universidad de Arte y Cs. Sociales (UARCIS);Básica completa;Universidad incompleta;FONASA B;Si;Si;No se;30;"Madre; Amigas cercanas"
6;"";acepto participar;h68rn3woyktfk3dsyo6n;-2;-4;-2;-1;-3;2;-2;1;-3;1;18;Femenino;QQwSp@gmail.com;No;Calbuco;Universidad incompleta;Ciencias / Ingeniería;Cuarto;Universidad Católica del Maule (UCM);Postgrado completa;Universidad completa;FONASA B;Si;No;No;51;Madre
3;"";acepto participar;vc8foy5jl0ubwtg6au6d;-2;3;2;4;0;-2;3;-1;-4;4;20;No binario;s5k2r@gmail.com;Si;La Reina;Sin educación formal;Otro;Iniciada;Academia Politécnica Militar;Media completa;Postgrado completa;Otros;No;Si;No;57;"Madre; Hermanas; Amigas cercanas"
5;"";acepto participar;1e1hd4j5u6jpx6g1dopc;3;2;4;0;-2;3;-1;-4;4;2;28;Femenino;MQI9tDx84@gmail.com;No;Independencia;Básica completa;Artes;Quinto;Universidad La República (ULARE);Postgrado completa;Sin educación formal;FONASA A;Si;No;No se;60;Hermanas
8;"";acepto participar;flvl6zq7cao3bqnd6mmk;-4;-2;-1;-3;2;-2;1;-3;1;-1;31;Femenino;uqWRL07gGD@gmail.com;No;Puente Alto;Básica completa;Negocios / Comercio;Tercero;Universidad Metropolitana de Ciencias de la Educación;Universidad completa;Básica completa;FONASA D;No;No;Si;52;"Madre; Hermanas; Amigas cercanas"
9;"";acepto participar;fkss209mftzsnnven04n;4;0;-2;3;-1;-4;4;2;-4;-2;20;Masculino;sEEqH@gmail.com;No;Peñaflor;Magíster o Doctorado incompleta;Negocios / Comercio;Segundo;Universidad Diego Portales (UDP);Postgrado incompleta;Media incompleta;FONASA A;Si;No;Si;44;"Madre; Hermanas; Amigas cercanas"
4;"";acepto participar;nwn3wkt1fcl76dosavnt;0;-2;-4;-2;-1;-3;2;-2;1;-3;25;Masculino;6Ka5pr7E@gmail.com;Si;La Ligua;Centro de Formación Técnica o en Instituto Profesional incompleta;Humanidades y Ciencias Sociales;Segundo;Universidad Católica del Norte (UCN);Universidad incompleta;Postgrado completa;Isapre;Si;Si;No se;37;Amigas cercanas
7;"";acepto participar;mbgutkbaooz2mc9rqhpo;2;4;0;-2;3;-1;-4;4;2;-4;32;Femenino;oj9xkqfOeJ@gmail.com;Si;Parral;Sin educación formal;Otro;Cuarto;Universidad La República (ULARE);Sin educación formal;Postgrado incompleta;FONASA C;No;Si;No se;32;"Madre; Hermanas"
