id,Consent_000_RAW,Consent_001_RAW,DEMOGR_01_RAW,DEMOGR_02_RAW,DEMOGR_03_RAW,DEMOGR_05_RAW,DEMOGR_06_RAW,DEMOGR_07_RAW,DEMOGR_08_RAW,DEMOGR_10_RAW,DEMOGR_11_RAW,DEMOGR_12_RAW,DEMOGR_13_RAW,DEMOGR_14_RAW,DEMOGR_15_RAW,DEMOGR_16_RAW,DEMOGR_17_RAW,DEMOGR_18_RAW,DEMOGR_19_RAW,Goodbye_001_RAW,SBS_01_RAW,SBS_02_RAW,SBS_03_RAW,SBS_04_RAW,SBS_05_RAW,SBS_06_RAW,SBS_07_RAW,SBS_08_RAW,SBS_09_RAW,SBS_10_RAW
11,"",acepto participar,"{""""Q0"""":""""22""""}","{""""Q0"""":"""" Femenino""""}","{""""Q0"""":""""nGl1xR5MHb@gmail.com""""}","{""""Q0"""":"""" Si""""}","{""""Q0"""":""""Antofagasta""""}","{""""Q0"""":"""" Media completa""""}","{""""Q0"""":"""" Ciencias / Ingeniería""""}","{""""Q0"""":"""" Quinto""""}","{""""Q0"""":""""Universidad Católica de la Sma. Concepción (UCSC)""""}","{""""Q0"""":"""" Media incompleta""""}","{""""Q0"""":"""" Básica incompleta""""}","{""""Q0"""":"""" FONASA A""""}","{""""Q0"""":"""" No""""}","{""""Q0"""":"""" Si""""}","{""""Q0"""":"""" No""""}","{""""Q0"""":""""43""""}","{""""Q0"""":[""""&nbsp;Madre""""]}",o8qt6recloq6qj4bcaf4,0,-2,3,-1,-4,4,2,-4,-2,-1
12,"",acepto participar,"{""""Q0"""":""""36""""}","{""""Q0"""":"""" No binario""""}","{""""Q0"""":""""64KlHSg@gmail.com""""}","{""""Q0"""":"""" Si""""}","{""""Q0"""":""""Ranquil""""}","{""""Q0"""":"""" Postgrado completa""""}","{""""Q0"""":"""" Artes""""}","{""""Q0"""":"""" Segundo""""}","{""""Q0"""":""""Universidad de Atacama (UDA)""""}","{""""Q0"""":"""" Universidad incompleta""""}","{""""Q0"""":"""" Media incompleta""""}","{""""Q0"""":"""" Isapre""""}","{""""Q0"""":"""" Si""""}","{""""Q0"""":"""" Si""""}","{""""Q0"""":"""" No""""}","{""""Q0"""":""""58""""}","{""""Q0"""":[""""&nbsp;Madre"""",""""&nbsp;Hermanas"""",""""&nbsp;Amigas cercanas""""]}",y6phslb64ar7fozcno5y,-2,3,-1,-4,4,2,-4,-2,-1,-4
13,"",acepto participar,"{""""Q0"""":""""50""""}","{""""Q0"""":"""" Masculino""""}","{""""Q0"""":""""9NkkV@gmail.com""""}","{""""Q0"""":"""" Si""""}","{""""Q0"""":""""General Lagos""""}","{""""Q0"""":"""" Postgrado completa""""}","{""""Q0"""":"""" Otro""""}","{""""Q0"""":"""" Primero""""}","{""""Q0"""":""""Universidad Católica Cardenal Silva Henríquez (UCSH)""""}","{""""Q0"""":"""" Básica incompleta""""}","{""""Q0"""":"""" Básica incompleta""""}","{""""Q0"""":"""" FONASA B""""}","{""""Q0"""":"""" Si""""}","{""""Q0"""":"""" No""""}","{""""Q0"""":"""" No se""""}","{""""Q0"""":""""66""""}","{""""Q0"""":[""""&nbsp;Madre"""",""""&nbsp;Hermanas"""",""""&nbsp;Amigas cercanas""""]}",kuyjz0u7vmtxougro9jg,-2,3,-1,-4,4,2,-4,-2,-1,-4
27,"",acepto participar,"{""""Q0"""":""""19""""}","{""""Q0"""":"""" No binario""""}","{""""Q0"""":""""L1uTp3@gmail.com""""}","{""""Q0"""":"""" Si""""}","{""""Q0"""":""""Curepto""""}","{""""Q0"""":"""" Magíster o Doctorado completa""""}","{""""Q0"""":"""" Humanidades y Ciencias Sociales""""}","{""""Q0"""":"""" Quinto""""}","{""""Q0"""":""""Universidad Chileno - Británica de Cultura""""}","{""""Q0"""":"""" Centro de Formación Técnica o en Instituto Profesional completa""""}","{""""Q0"""":"""" Media completa""""}","{""""Q0"""":"""" Otros""""}","{""""Q0"""":"""" Si""""}","{""""Q0"""":"""" No""""}","{""""Q0"""":"""" Si""""}","{""""Q0"""":""""66""""}","{""""Q0"""":[""""&nbsp;Madre"""",""""&nbsp;Hermanas"""",""""&nbsp;Amigas cercanas""""]}",9e600l4ygprxtt2ht5fe,-2,-1,-4,-4,2,3,0,-2,-2,1
28,"",acepto participar,"{""""Q0"""":""""20""""}","{""""Q0"""":"""" No binario""""}","{""""Q0"""":""""bje4KDe@gmail.com""""}","{""""Q0"""":"""" No""""}","{""""Q0"""":""""Quillota""""}","{""""Q0"""":"""" Universidad completa""""}","{""""Q0"""":"""" Humanidades y Ciencias Sociales""""}","{""""Q0"""":"""" Primero""""}","{""""Q0"""":""""Universidad Marítima de Chile""""}","{""""Q0"""":"""" Media incompleta""""}","{""""Q0"""":"""" Postgrado completa""""}","{""""Q0"""":"""" FONASA C""""}","{""""Q0"""":"""" Si""""}","{""""Q0"""":"""" No""""}","{""""Q0"""":"""" Si""""}","{""""Q0"""":""""48""""}","{""""Q0"""":[""""&nbsp;Madre""""]}",a0v628mjjcecalaeklcq,2,0,1,-2,-3,-4,-1,-4,-4,-2
15,"",acepto participar,"{""""Q0"""":""""25""""}","{""""Q0"""":"""" Femenino""""}","{""""Q0"""":""""7CSCaN85@gmail.com""""}","{""""Q0"""":"""" Si""""}","{""""Q0"""":""""Río Claro""""}","{""""Q0"""":"""" Sin educación formal""""}","{""""Q0"""":"""" Humanidades y Ciencias Sociales""""}","{""""Q0"""":"""" Tercero""""}","{""""Q0"""":""""Universidad Miguel de Cervantes""""}","{""""Q0"""":"""" Básica incompleta""""}","{""""Q0"""":"""" Básica completa""""}","{""""Q0"""":"""" FONASA D""""}","{""""Q0"""":"""" No""""}","{""""Q0"""":"""" No""""}","{""""Q0"""":"""" Si""""}","{""""Q0"""":""""66""""}","{""""Q0"""":[""""&nbsp;Amigas cercanas""""]}",29sttbgu9llkmzb5mbs6,3,-1,-4,4,2,-4,-2,-1,-4,-4
14,"",acepto participar,"{""""Q0"""":""""36""""}","{""""Q0"""":"""" No binario""""}","{""""Q0"""":""""64KlHSg@gmail.com""""}","{""""Q0"""":"""" Si""""}","{""""Q0"""":""""Ranquil""""}","{""""Q0"""":"""" Postgrado completa""""}","{""""Q0"""":"""" Artes""""}","{""""Q0"""":"""" Segundo""""}","{""""Q0"""":""""Universidad de Atacama (UDA)""""}","{""""Q0"""":"""" Universidad incompleta""""}","{""""Q0"""":"""" Media incompleta""""}","{""""Q0"""":"""" Isapre""""}","{""""Q0"""":"""" Si""""}","{""""Q0"""":"""" Si""""}","{""""Q0"""":"""" No""""}","{""""Q0"""":""""58""""}","{""""Q0"""":[""""&nbsp;Madre"""",""""&nbsp;Hermanas"""",""""&nbsp;Amigas cercanas""""]}",fhr5078dpv2mm4v7971m,-3,2,-2,1,-3,1,-1,2,0,1
16,"",acepto participar,"{""""Q0"""":""""20""""}","{""""Q0"""":"""" No binario""""}","{""""Q0"""":""""Z8qxtWo@gmail.com""""}","{""""Q0"""":"""" No""""}","{""""Q0"""":""""Putaendo""""}","{""""Q0"""":"""" Universidad completa""""}","{""""Q0"""":"""" Ciencias / Ingeniería""""}","{""""Q0"""":"""" Cuarto""""}","{""""Q0"""":""""Universidad Católica del Maule (UCM)""""}","{""""Q0"""":"""" Media incompleta""""}","{""""Q0"""":"""" Sin educación formal""""}","{""""Q0"""":"""" Isapre""""}","{""""Q0"""":"""" Si""""}","{""""Q0"""":"""" No""""}","{""""Q0"""":"""" No se""""}","{""""Q0"""":""""34""""}","{""""Q0"""":[""""&nbsp;Madre"""",""""&nbsp;Hermanas"""",""""&nbsp;Amigas cercanas""""]}",cazj32vt7ze06k4klpqs,2,-2,1,-3,1,-1,2,0,1,-2
1,"",acepto participar,"{""""Q0"""":""""19""""}","{""""Q0"""":"""" No binario""""}","{""""Q0"""":""""snJTnjLf@gmail.com""""}","{""""Q0"""":"""" No""""}","{""""Q0"""":""""Perquenco""""}","{""""Q0"""":"""" Postgrado completa""""}","{""""Q0"""":"""" Artes""""}","{""""Q0"""":"""" Quinto""""}","{""""Q0"""":""""Universidad Miguel de Cervantes""""}","{""""Q0"""":"""" Magíster o Doctorado incompleta""""}","{""""Q0"""":"""" Media completa""""}","{""""Q0"""":"""" FONASA B""""}","{""""Q0"""":"""" No""""}","{""""Q0"""":"""" No""""}","{""""Q0"""":"""" No se""""}","{""""Q0"""":""""81""""}","{""""Q0"""":[""""&nbsp;Madre"""",""""&nbsp;Hermanas"""",""""&nbsp;Amigas cercanas""""]}",t3efhw9ny50by8yr8bey,-2,-2,3,2,4,0,-2,3,-1,-4
18,"",acepto participar,"{""""Q0"""":""""28""""}","{""""Q0"""":"""" Femenino""""}","{""""Q0"""":""""hJXgVBsO@gmail.com""""}","{""""Q0"""":"""" Si""""}","{""""Q0"""":""""Calbuco""""}","{""""Q0"""":"""" Básica completa""""}","{""""Q0"""":"""" Negocios / Comercio""""}","{""""Q0"""":"""" Segundo""""}","{""""Q0"""":""""Universidad Miguel de Cervantes""""}","{""""Q0"""":"""" Sin educación formal""""}","{""""Q0"""":"""" Universidad completa""""}","{""""Q0"""":"""" FONASA A""""}","{""""Q0"""":"""" No""""}","{""""Q0"""":"""" Si""""}","{""""Q0"""":"""" No se""""}","{""""Q0"""":""""62""""}","{""""Q0"""":[""""&nbsp;Madre"""",""""&nbsp;Hermanas"""",""""&nbsp;Amigas cercanas""""]}",tyfcytjns6t8pr7rgumm,-2,1,-3,1,-1,2,0,1,-2,-3
19,"",acepto participar,"{""""Q0"""":""""31""""}","{""""Q0"""":"""" Femenino""""}","{""""Q0"""":""""VZ18R37@gmail.com""""}","{""""Q0"""":"""" No""""}","{""""Q0"""":""""Cochamó""""}","{""""Q0"""":"""" Media incompleta""""}","{""""Q0"""":"""" Humanidades y Ciencias Sociales""""}","{""""Q0"""":"""" Primero""""}","{""""Q0"""":""""Universidad Marítima de Chile""""}","{""""Q0"""":"""" Magíster o Doctorado completa""""}","{""""Q0"""":"""" Básica incompleta""""}","{""""Q0"""":"""" Otros""""}","{""""Q0"""":"""" No""""}","{""""Q0"""":"""" Si""""}","{""""Q0"""":"""" Si""""}","{""""Q0"""":""""78""""}","{""""Q0"""":[""""&nbsp;Amigas cercanas""""]}",rnvc5sgko3ujzvyl42go,-4,4,2,-4,-2,-1,-4,-4,2,3
17,"",acepto participar,"{""""Q0"""":""""27""""}","{""""Q0"""":"""" Masculino""""}","{""""Q0"""":""""HpdWj8ehS@gmail.com""""}","{""""Q0"""":"""" Si""""}","{""""Q0"""":""""Collipulli""""}","{""""Q0"""":"""" Postgrado incompleta""""}","{""""Q0"""":"""" Ciencias de la salud""""}","{""""Q0"""":"""" Primero""""}","{""""Q0"""":""""Universidad de Aconcagua""""}","{""""Q0"""":"""" Básica completa""""}","{""""Q0"""":"""" Magíster o Doctorado completa""""}","{""""Q0"""":"""" FONASA A""""}","{""""Q0"""":"""" No""""}","{""""Q0"""":"""" No""""}","{""""Q0"""":"""" No se""""}","{""""Q0"""":""""57""""}","{""""Q0"""":[""""&nbsp;Madre"""",""""&nbsp;Hermanas""""]}",c85kwlrf88b8y4vgn6yd,-1,-4,4,2,-4,-2,-1,-4,-4,2
2,"",acepto participar,"{""""Q0"""":""""26""""}","{""""Q0"""":"""" Femenino""""}","{""""Q0"""":""""sKDO40@gmail.com""""}","{""""Q0"""":"""" No""""}","{""""Q0"""":""""Isla de Pascua""""}","{""""Q0"""":"""" Universidad incompleta""""}","{""""Q0"""":"""" Otro""""}","{""""Q0"""":"""" Primero""""}","{""""Q0"""":""""Universidad de Arte y Cs. Sociales (UARCIS)""""}","{""""Q0"""":"""" Básica completa""""}","{""""Q0"""":"""" Universidad incompleta""""}","{""""Q0"""":"""" FONASA B""""}","{""""Q0"""":"""" Si""""}","{""""Q0"""":"""" Si""""}","{""""Q0"""":"""" No se""""}","{""""Q0"""":""""30""""}","{""""Q0"""":[""""&nbsp;Madre"""",""""&nbsp;Amigas cercanas""""]}",6ugydhbhrkshqyg76ggf,2,0,-2,-4,-2,-1,-3,2,-2,1
6,"",acepto participar,"{""""Q0"""":""""18""""}","{""""Q0"""":"""" Femenino""""}","{""""Q0"""":""""QQwSp@gmail.com""""}","{""""Q0"""":"""" No""""}","{""""Q0"""":""""Calbuco""""}","{""""Q0"""":"""" Universidad incompleta""""}","{""""Q0"""":"""" Ciencias / Ingeniería""""}","{""""Q0"""":"""" Cuarto""""}","{""""Q0"""":""""Universidad Católica del Maule (UCM)""""}","{""""Q0"""":"""" Postgrado completa""""}","{""""Q0"""":"""" Universidad completa""""}","{""""Q0"""":"""" FONASA B""""}","{""""Q0"""":"""" Si""""}","{""""Q0"""":"""" No""""}","{""""Q0"""":"""" No""""}","{""""Q0"""":""""51""""}","{""""Q0"""":[""""&nbsp;Madre""""]}",h68rn3woyktfk3dsyo6n,-2,-4,-2,-1,-3,2,-2,1,-3,1
3,"",acepto participar,"{""""Q0"""":""""20""""}","{""""Q0"""":"""" No binario""""}","{""""Q0"""":""""s5k2r@gmail.com""""}","{""""Q0"""":"""" Si""""}","{""""Q0"""":""""La Reina""""}","{""""Q0"""":"""" Sin educación formal""""}","{""""Q0"""":"""" Otro""""}","{""""Q0"""":"""" Iniciada""""}","{""""Q0"""":""""Academia Politécnica Militar""""}","{""""Q0"""":"""" Media completa""""}","{""""Q0"""":"""" Postgrado completa""""}","{""""Q0"""":"""" Otros""""}","{""""Q0"""":"""" No""""}","{""""Q0"""":"""" Si""""}","{""""Q0"""":"""" No""""}","{""""Q0"""":""""57""""}","{""""Q0"""":[""""&nbsp;Madre"""",""""&nbsp;Hermanas"""",""""&nbsp;Amigas cercanas""""]}",vc8foy5jl0ubwtg6au6d,-2,3,2,4,0,-2,3,-1,-4,4
5,"",acepto participar,"{""""Q0"""":""""28""""}","{""""Q0"""":"""" Femenino""""}","{""""Q0"""":""""MQI9tDx84@gmail.com""""}","{""""Q0"""":"""" No""""}","{""""Q0"""":""""Independencia""""}","{""""Q0"""":"""" Básica completa""""}","{""""Q0"""":"""" Artes""""}","{""""Q0"""":"""" Quinto""""}","{""""Q0"""":""""Universidad La República (ULARE)""""}","{""""Q0"""":"""" Postgrado completa""""}","{""""Q0"""":"""" Sin educación formal""""}","{""""Q0"""":"""" FONASA A""""}","{""""Q0"""":"""" Si""""}","{""""Q0"""":"""" No""""}","{""""Q0"""":"""" No se""""}","{""""Q0"""":""""60""""}","{""""Q0"""":[""""&nbsp;Hermanas""""]}",1e1hd4j5u6jpx6g1dopc,3,2,4,0,-2,3,-1,-4,4,2
8,"",acepto participar,"{""""Q0"""":""""31""""}","{""""Q0"""":"""" Femenino""""}","{""""Q0"""":""""uqWRL07gGD@gmail.com""""}","{""""Q0"""":"""" No""""}","{""""Q0"""":""""Puente Alto""""}","{""""Q0"""":"""" Básica completa""""}","{""""Q0"""":"""" Negocios / Comercio""""}","{""""Q0"""":"""" Tercero""""}","{""""Q0"""":""""Universidad Metropolitana de Ciencias de la Educación""""}","{""""Q0"""":"""" Universidad completa""""}","{""""Q0"""":"""" Básica completa""""}","{""""Q0"""":"""" FONASA D""""}","{""""Q0"""":"""" No""""}","{""""Q0"""":"""" No""""}","{""""Q0"""":"""" Si""""}","{""""Q0"""":""""52""""}","{""""Q0"""":[""""&nbsp;Madre"""",""""&nbsp;Hermanas"""",""""&nbsp;Amigas cercanas""""]}",flvl6zq7cao3bqnd6mmk,-4,-2,-1,-3,2,-2,1,-3,1,-1
9,"",acepto participar,"{""""Q0"""":""""20""""}","{""""Q0"""":"""" Masculino""""}","{""""Q0"""":""""sEEqH@gmail.com""""}","{""""Q0"""":"""" No""""}","{""""Q0"""":""""Peñaflor""""}","{""""Q0"""":"""" Magíster o Doctorado incompleta""""}","{""""Q0"""":"""" Negocios / Comercio""""}","{""""Q0"""":"""" Segundo""""}","{""""Q0"""":""""Universidad Diego Portales (UDP)""""}","{""""Q0"""":"""" Postgrado incompleta""""}","{""""Q0"""":"""" Media incompleta""""}","{""""Q0"""":"""" FONASA A""""}","{""""Q0"""":"""" Si""""}","{""""Q0"""":"""" No""""}","{""""Q0"""":"""" Si""""}","{""""Q0"""":""""44""""}","{""""Q0"""":[""""&nbsp;Madre"""",""""&nbsp;Hermanas"""",""""&nbsp;Amigas cercanas""""]}",fkss209mftzsnnven04n,4,0,-2,3,-1,-4,4,2,-4,-2
4,"",acepto participar,"{""""Q0"""":""""25""""}","{""""Q0"""":"""" Masculino""""}","{""""Q0"""":""""6Ka5pr7E@gmail.com""""}","{""""Q0"""":"""" Si""""}","{""""Q0"""":""""La Ligua""""}","{""""Q0"""":"""" Centro de Formación Técnica o en Instituto Profesional incompleta""""}","{""""Q0"""":"""" Humanidades y Ciencias Sociales""""}","{""""Q0"""":"""" Segundo""""}","{""""Q0"""":""""Universidad Católica del Norte (UCN)""""}","{""""Q0"""":"""" Universidad incompleta""""}","{""""Q0"""":"""" Postgrado completa""""}","{""""Q0"""":"""" Isapre""""}","{""""Q0"""":"""" Si""""}","{""""Q0"""":"""" Si""""}","{""""Q0"""":"""" No se""""}","{""""Q0"""":""""37""""}","{""""Q0"""":[""""&nbsp;Amigas cercanas""""]}",nwn3wkt1fcl76dosavnt,0,-2,-4,-2,-1,-3,2,-2,1,-3
7,"",acepto participar,"{""""Q0"""":""""32""""}","{""""Q0"""":"""" Femenino""""}","{""""Q0"""":""""oj9xkqfOeJ@gmail.com""""}","{""""Q0"""":"""" Si""""}","{""""Q0"""":""""Parral""""}","{""""Q0"""":"""" Sin educación formal""""}","{""""Q0"""":"""" Otro""""}","{""""Q0"""":"""" Cuarto""""}","{""""Q0"""":""""Universidad La República (ULARE)""""}","{""""Q0"""":"""" Sin educación formal""""}","{""""Q0"""":"""" Postgrado incompleta""""}","{""""Q0"""":"""" FONASA C""""}","{""""Q0"""":"""" No""""}","{""""Q0"""":"""" Si""""}","{""""Q0"""":"""" No se""""}","{""""Q0"""":""""32""""}","{""""Q0"""":[""""&nbsp;Madre"""",""""&nbsp;Hermanas""""]}",mbgutkbaooz2mc9rqhpo,2,4,0,-2,3,-1,-4,4,2,-4
